filename,MEANf,VARf,SKEWf,KURTf,NBPEAKS,LEQf,ENRf,BGNf,SNRf,Hf,EAS,ECU,ECV,EPS,EPS_KURT,EPS_SKEW,ACI,NDSI,rBA,AnthroEnergy,BioEnergy,BI,ROU,ADI,AEI,LFC,MFC,HFC,ACTspFract,ACTspCount,ACTspMean,EVNspFract,EVNspMean,EVNspCount,TFSD,H_Havrda,H_Renyi,H_pairedShannon,H_gamma,H_GiniSimpson,RAOQ,AGI,nROI,aROI,ZCR,MEANt,VARt,SKEWt,KURTt,LEQt,BGNt,SNRt,MED,Ht,ACTtFraction,ACTtCount,ACTtMean,EVNtFraction,EVNtMean,EVNtCount
UoBBG_29.08.2024_20240828_202931.WAV,0.0035211087819521825,5.5026653119529994e-05,8.573107999300712,90.79870712461378,27.0,72.36030024130909,-14.61909984541128,-39.24352717777869,24.624427332367407,0.46522085884422554,0.08605140150109969,0.2956331493187804,0.09314781226918378,0.04183260740593475,39.020460160060956,5.331964921495915,356.0646835242777,-0.7408715324595971,0.14884985061148784,128.26217876504018,19.091806148280178,6.3150265411358575,151.73992877394318,1.8998985422696897,0.41454101340604427,0.34490997999555456,0.18948311537730037,0.18765540836696837,0.1810567278839742,814.57421875,30.104123717458013,0.06528968242942876,0.07364493941919191,0.926681389645398,0.611948392299056,0.3228757380697877,1.730907228215258,3.8257728759932244,10516.161765261646,0.8591542822000812,0.17590611524464841,3.610662490197969,407.5905756834852,1.0093388808624137,15619.208333333332,-6.177928539112069e-18,0.04159292643330863,0.01886981126556836,14.848615661748276,73.19019477929872,-26.707305582000128,16.77295775311218,0.04619922826025221,0.7873648497867537,0.39022222222222225,1756.0,20.8262974371404,0.3582222222222222,0.1146311111111111,3.125694598799733
UoBBG_29.08.2024_20240828_203000.WAV,0.002166175668470088,2.0978755103532624e-05,8.351672650532011,84.82527388261767,32.0,68.16653976632847,-18.81286032039191,-44.45089551081552,25.63803519042361,0.46783386464421745,0.09569905423875313,0.4242042740533718,0.17877592654754615,0.024969005308848047,36.44737164305313,5.4861558113673805,345.50624930979063,-0.7307590972989076,0.15556232125041589,112.52630867348026,17.504853778987396,4.311315857190348,157.8084801284304,1.7558967973813382,0.5194505218273733,0.2735104904147674,0.17099544376089193,0.1668012656839579,0.1566913520754534,1615.64453125,28.018177345477145,0.03403354881922219,0.054705261516208886,0.6653956830443745,0.6182197803996721,0.3245208009198733,1.8164840720296398,3.84714270393857,10399.772525052129,0.8671887583951684,0.170182684112609,2.3148925537877165,298.95257491998836,0.923581308796431,28772.745454545453,2.5131412102878542e-18,0.015128920180842468,-0.011806585319416496,42.502007699306795,68.79807931576588,-32.641449694024686,18.39420230112743,0.0233306884765625,0.71668402905972,0.33407680372381693,3445.0,23.11833871341078,0.31351823118696664,0.11729705215419502,2.6731160896130346
UoBBG_29.08.2024_20240828_203100.WAV,0.0027729740920694537,3.855179437476157e-05,8.687518858847781,90.11309670756117,28.0,70.72238874782309,-16.257011338897293,-42.16470666095408,25.90769532205679,0.445262087300867,0.07000599950303799,0.3078580002276863,0.11744880394400281,0.04453769407385011,56.04531344155716,6.9033106172966745,365.050971386093,-0.8007228301027914,0.11066509879581704,205.43121294755997,22.734065476586252,4.360191688764814,269.8300535584463,1.8410326815167388,0.48112128054351455,0.34983674393043024,0.20812324341834917,0.20385723621538382,0.18305901312918244,1887.521484375,27.51774261319339,0.0708737558796431,0.0529277549470038,1.2275703200775947,0.6092105469681774,0.32312999503901724,1.7432140199064843,3.69950405579363,9211.51194401723,0.8551979759684447,0.17330230723331572,2.9256888731322124,441.8824556299098,1.6938259201338377,22764.163636363635,4.414650463373122e-18,0.025023432358967052,0.04855360226241341,23.862066397219284,70.98346879790704,-29.95998450789498,18.471915907804927,0.031768798828125,0.7834786253943529,0.41049262994569435,4233.0,22.315483758689325,0.382854926299457,0.15831578947368422,2.4185336048879837
UoBBG_29.08.2024_20240828_203200.WAV,0.004013146221071911,6.998403440685722e-05,7.76355608062286,73.38386069362673,18.0,73.42159534626067,-13.557804740459698,-35.58931802952398,22.031513289064282,0.48731890971559205,0.047452073036087894,0.28236944574820977,0.10688565676419348,0.05160430723780607,34.97480137211319,4.994998370459076,368.53483302862537,-0.7791206080353108,0.12415088160246039,367.92609124446295,45.67834859254736,5.7585152925199194,519.4978142177569,2.0111661167199713,0.3884866742897353,0.38515501244625483,0.26410189498353775,0.2482975716887055,0.21723065021578897,2239.865234375,28.195385023501764,0.11363376339588788,0.06150316086025896,1.77365440864452,0.6034480272729243,0.326824158265667,1.9679651299196521,3.978683576450702,10225.710657040157,0.8844266523292876,0.22787179834308072,3.8786503903412517,705.920861216177,2.532603227136068,15174.41818181818,1.2178810148918384e-18,0.049702076745466055,-0.0011272830733857714,11.90780864931979,73.96374535619714,-22.08117451497756,13.726273618752572,0.07869393717447917,0.8445275053159019,0.4148564778898371,4278.0,17.501068424096637,0.386733902249806,0.09712024353120242,3.9823974396275825
UoBBG_29.08.2024_20240828_203300.WAV,0.001372079672121978,9.602960237750546e-06,7.71006327926964,70.81562070813243,49.0,64.6736225284574,-22.305777558262978,-45.27531970543347,22.96954214717049,0.4635510663514679,0.12002469264920124,0.27301637195368755,0.1391857950509272,0.006984875470591678,24.45662589329762,3.542905035599315,323.9954077065055,-0.7902394891723324,0.11716896655242727,52.889598193540714,6.19701956171029,2.8148628790937953,67.66533699393881,1.911413760101733,0.42681325794738517,0.17778747615814827,0.1351204348873738,0.13546462039904755,0.1340026352317913,1381.701171875,26.82563398478457,0.011238187675783145,0.053798359262642995,0.2173467242058681,0.6251386604917143,0.3267134772759958,1.959534682103057,3.8297404933233654,9024.987990387477,0.8832369016727721,0.13394480377091295,1.7209436436944783,65.46406750072738,0.1672212927941034,38350.2,-3.679968787607914e-18,0.0063293998076670065,0.6567425221667882,109.45257779313621,65.01362529515524,-33.656446118416206,15.225567776316357,0.020757626539288147,0.6002438969394864,0.10366563227307991,1069.0,24.948118086276555,0.08252521334367728,0.06876767676767677,1.2001745708466687
UoBBG_29.08.2024_20240828_203400.WAV,0.00026530877649654996,8.609093067518984e-09,1.9771340699272872,8.971009855894831,5.0,43.048251861402,-43.93114822531837,-45.65784352590951,1.726695300591146,0.9600318725746442,8.012839470017408e-05,0.017941713659515246,0.01407488797494505,0.004268733653863044,5.342998305461893,0.25912478752895624,297.33542245824117,0.14840738368398287,1.3485407948368364,0.04245949730957658,0.05725836425022892,0.626461814845187,0.5239524923417658,2.3025850220863457,0.00020638831346140308,0.13879998706882618,0.12652587017968,0.128978488629782,0.12942412835806422,1334.4921875,5.492096830808326,0.0016731600353990883,0.021799450582127212,0.07452090658341416,0.6281938447257636,0.33332565800389047,5.339443526295686,6.987276736148928,75245.45846447439,0.9965802510835537,0.8200595886632149,1.2040991758026602,4.364271166715159,0.018032926001357773,42220.836363636365,4.347111896041758e-19,4.065474249412163e-05,0.05082176284526499,2.967418248540798,43.091112146014616,-34.06611938548808,0.2251889967924967,0.019801314914587774,0.996125752379243,0.014449185415050426,149.0,3.8441428764433354,0.0002909231962761831,0.016,0.018184463194646495
UoBBG_29.08.2024_20240828_203500.WAV,0.000265796506669046,9.898503642224752e-09,2.8556943313160343,18.288786273072624,6.0,43.13255492721702,-43.846845159503346,-45.66485830695207,1.818013147448724,0.9523178624468879,6.019241785670815e-05,0.01098565367789961,0.008491337631181595,0.003147113365617571,15.809936981633198,1.6938679695592302,296.8346862582918,0.04652461238386632,1.0975895403030518,0.05199208078293623,0.057065964045942115,0.672474811106541,0.5276991506533181,2.301478447407488,0.02261238499358651,0.13961626741667474,0.1268568149119097,0.12798870999757994,0.12946068670594513,1334.869140625,5.536918387116997,0.001760104500048492,0.022167356084678687,0.07725594462293889,0.6260950956042391,0.33331593469099324,4.930253046276551,6.938757903269105,73876.36327708034,0.9957974637678954,0.8362505926481302,1.2045255396548429,2.1821355833575793,0.010626545679371546,42188.163636363635,1.956347541877359e-19,4.1264092311598723e-05,0.06668100319003482,3.5347792717417668,43.15572296351954,-34.09268953515432,0.27058611197741556,0.019740835212938714,0.9951035484081305,0.01774631497284717,183.0,4.33760568582831,0.0016485647788983709,0.04533333333333333,0.03636892638929299
UoBBG_29.08.2024_20240828_203600.WAV,0.0002647544967411526,8.488769649252584e-09,1.9522871746297892,8.735789272799517,6.0,43.02542515649833,-43.953974930222046,-45.67772505437542,1.7237501241533764,0.9604550126050116,5.898972141071823e-05,0.010438359190146684,0.00820333614021218,0.0038113762389970773,4.505043142021071,-0.15312248813080734,296.8482316109225,0.15396641755463647,1.363972354642505,0.04170667412540956,0.05688675051114252,0.6080335707575468,0.5185788979685685,2.302581577334328,0.0013604671021351321,0.13766850935893704,0.12630290741446176,0.12880808718028203,0.1295769915017942,1336.068359375,5.485873388886766,0.0017085818543303268,0.022116462894963683,0.07590618559044618,0.6268372897052652,0.3333258951960677,5.3551389096615765,6.989930304781346,75346.50257645681,0.996607778601152,0.8192828207059987,1.2043904298610002,3.273203375036369,0.011876727524003492,42308.12727272727,3.697799642245834e-19,4.039310675293669e-05,0.050268498662246267,2.965900939312465,43.063072573237015,-34.10276908251066,0.24168770119532468,0.019717940232248016,0.9960136535808597,0.014158262218774243,146.0,3.953567257690294,0.0,0.0,0.0
UoBBG_29.08.2024_20240828_203700.WAV,0.0002962853533599321,2.903745032099369e-08,3.593935934682277,23.347201924692875,8.0,44.74736320326876,-42.23203688345161,-45.59459464649102,3.362557763039405,0.8932263674369414,0.0038751677652419936,0.599438162694748,0.4582057430015538,0.003909587201803011,6.249980240713958,0.4559832871844465,299.76516116455116,-0.28005552829247155,0.5624322193802775,0.11133798590204794,0.06262007051221888,0.6513849572699015,1.134791155230696,2.2895652892964726,0.07746823747509293,0.14637280574144118,0.12653586850995885,0.12956129784269954,0.130258151185627,1343.091796875,7.435202146558457,0.0025147597226263217,0.023901815237884885,0.09775096993210475,0.6263755956206625,0.3332382939667558,4.08130353925131,6.567630526936757,60952.74149876573,0.9908862899379524,0.7857331155353126,1.2246891998624199,27.276694791969742,0.08620572083212104,41211.4,4.6337092412243515e-19,6.047674896924061e-05,0.5142794107718895,516.5414402202847,44.815884368802486,-33.95912220292472,2.845161882182815,0.02004674609791149,0.7615580912664848,0.03345616757176106,345.0,14.428456099326027,0.013770364623739333,0.03442424242424242,0.4000581902822229
UoBBG_29.08.2024_20240828_203800.WAV,0.00031428634567286294,4.368528474987031e-08,4.064648016867307,28.66776300123474,13.0,45.6090654296688,-41.37033465705157,-45.59198662391352,4.221651966861948,0.8620657669248085,0.07833765254871017,0.8220100557186097,0.6360797994316598,0.004147532142984911,10.446597702840817,1.6767357838296726,300.5772666100567,-0.17625161404800493,0.7003164766058092,0.1619428016707434,0.11341121227772838,0.7825084391019964,1.1656418818904002,1.7370246290733047,0.5144136500273973,0.14977532085475057,0.12782965244804118,0.13146562467993075,0.13173620708466688,1358.33203125,8.941861675553024,0.004126736616235089,0.025492879210110328,0.1484734935741998,0.6270274025305929,0.3331353290687692,3.7143048503154423,6.371160605871863,55182.79900707304,0.9868334828419482,0.8055056000678701,1.2377180168111699,78.55688100087285,0.16932387135098437,40993.90909090909,1.5979431582649388e-19,7.43668458722296e-05,0.268440860316145,269.22122983235096,45.713793621068916,-33.946098573998675,3.033475821000863,0.020076826748703466,0.7969409984017202,0.04198991466252909,433.0,13.86880900566419,0.02482544608223429,0.04015686274509804,0.6182717486179808
