"","Site","Variable","KW_statistic","KW_p_value","Significant","Group1","Group2","Z","P.adj","Direction"
"1","Old Sneed Park ","KURTf",3.28853790218477,0.193153716005612,"No",NA,NA,NA,NA,NA
"2","Old Sneed Park ","NBPEAKS",2.57399494801474,0.276098532819171,"No",NA,NA,NA,NA,NA
"3","Old Sneed Park ","EAS",1.005066993508,0.604995961152844,"No",NA,NA,NA,NA,NA
"4","Old Sneed Park ","ECV",3.89229196670556,0.142823456215608,"No",NA,NA,NA,NA,NA
"5","Old Sneed Park ","EPS",26.0194962880612,2.23840243762922e-06,"Yes","light treatment","post-light treatment",2.1146116825833,0.103389171401713,"light treatment > post-light treatment"
"6","Old Sneed Park ","EPS",26.0194962880612,2.23840243762922e-06,"Yes","light treatment","pre-light treatment",-2.245932446758,0.0741250056025681,"pre-light treatment > light treatment"
"7","Old Sneed Park ","EPS",26.0194962880612,2.23840243762922e-06,"Yes","post-light treatment","pre-light treatment",-5.08968744746128,1.0759625177647e-06,"pre-light treatment > post-light treatment"
"8","Old Sneed Park ","EPS_SKEW",24.5917260689678,4.57061387711106e-06,"Yes","light treatment","post-light treatment",1.88969798386669,0.176395091721067,"light treatment > post-light treatment"
"9","Old Sneed Park ","EPS_SKEW",24.5917260689678,4.57061387711106e-06,"Yes","light treatment","pre-light treatment",-2.34449229082857,0.0571590132127879,"pre-light treatment > light treatment"
"10","Old Sneed Park ","EPS_SKEW",24.5917260689678,4.57061387711106e-06,"Yes","post-light treatment","pre-light treatment",-4.93276663467818,2.43218988421232e-06,"pre-light treatment > post-light treatment"
"11","Old Sneed Park ","NDSI",6.30493288750927,0.0427465647413932,"Yes","light treatment","post-light treatment",-1.63541094056555,0.305888791363127,"post-light treatment > light treatment"
"12","Old Sneed Park ","NDSI",6.30493288750927,0.0427465647413932,"Yes","light treatment","pre-light treatment",0.43489531196137,1,"light treatment > pre-light treatment"
"13","Old Sneed Park ","NDSI",6.30493288750927,0.0427465647413932,"Yes","post-light treatment","pre-light treatment",2.45291159653491,0.042511547773683,"post-light treatment > pre-light treatment"
"14","Old Sneed Park ","rBA",6.30493288750927,0.0427465647413932,"Yes","light treatment","post-light treatment",-1.63541094056555,0.305888791363127,"post-light treatment > light treatment"
"15","Old Sneed Park ","rBA",6.30493288750927,0.0427465647413932,"Yes","light treatment","pre-light treatment",0.43489531196137,1,"light treatment > pre-light treatment"
"16","Old Sneed Park ","rBA",6.30493288750927,0.0427465647413932,"Yes","post-light treatment","pre-light treatment",2.45291159653491,0.042511547773683,"post-light treatment > pre-light treatment"
"17","Old Sneed Park ","BioEnergy",1.14607683549127,0.563809743989549,"No",NA,NA,NA,NA,NA
"18","Old Sneed Park ","ADI",1.5779384730838,0.454312843094831,"No",NA,NA,NA,NA,NA
"19","Old Sneed Park ","TFSD",4.97266703724677,0.0832145123881628,"No",NA,NA,NA,NA,NA
"20","Old Sneed Park ","H_Havrda",3.63594246735307,0.162354796986826,"No",NA,NA,NA,NA,NA
