Site	Treatment	ACI	ADI	BI	H	NDSI 
EWF	Light_1	1656.858616	2.302563	0.434354274	0.98369793	0.802668676
EWF	Light_1	1655.574583	2.302585	0.106021797	0.984113401	0.729051084
EWF	Light_1	1654.862382	2.302584	0.133919127	0.984147677	0.733389543
EWF	Light_1	1649.347044	2.302585	0.084495096	0.984204164	0.71827496
EWF	Light_1	1650.020562	2.302585	0.080175042	0.984182902	0.715667981
EWF	Light_1	1651.449514	2.302585	0.071305547	0.984223803	0.713669005
EWF	Light_1	1651.809267	2.302576	0.104465134	0.983994575	0.713750264
EWF	Light_1	1650.421199	2.302585	0.09280968	0.984161548	0.716253569
EWF	Light_1	1651.31342	2.302584	0.082633382	0.984132636	0.720106646
EWF	Light_1	1650.465111	2.302585	0.079144258	0.984201085	0.716061297
EWF	Light_1	1651.631023	2.302585	0.080147867	0.984209424	0.71853495
EWF	Light_1	1651.523992	2.302585	0.083359321	0.984103089	0.716001069
EWF	Light_1	1651.76819	2.302585	0.083309652	0.98419958	0.716585577
EWF	Light_1	1651.572421	2.302585	0.077337643	0.98414129	0.71702544
EWF	Light_1	1653.055621	2.302585	0.078797628	0.98409983	0.719464021
EWF	Light_1	1650.114295	2.302585	0.081718006	0.98420175	0.716194298
EWF	Light_1	1649.560691	2.302585	0.076632672	0.984134273	0.718994022
EWF	Light_1	1650.310179	2.302585	0.091468741	0.984207132	0.716762525
EWF	Light_1	1652.603715	2.302585	0.077436842	0.984169959	0.714431154
EWF	Light_1	1652.088199	2.302585	0.086587222	0.984128795	0.719055965
EWF	Light_1	1651.02205	2.302573	0.078902466	0.984027195	0.715312065
EWF	Light_1	1651.95917	2.302579	0.080794198	0.984034501	0.714708455
EWF	Light_1	1649.582658	2.302583	0.087077794	0.984051278	0.716864294
EWF	Light_1	1650.607222	2.302585	0.080366158	0.984128862	0.717202107
EWF	Light_1	1651.018515	2.302585	0.082283446	0.984154333	0.715282494
EWF	Light_1	1650.631033	2.302577	0.084898118	0.984140587	0.717147046
EWF	Light_1	1650.712056	2.302585	0.073793974	0.984226194	0.716058557
EWF	Light_1	1651.692385	2.302585	0.081800963	0.984178069	0.715456344
EWF	Light_1	1662.680006	2.301774	0.505685381	0.982985338	0.851376122
EWF	Light_1	1650.361281	2.302585	0.072673649	0.984130362	0.715609793
EWF	Light_1	1649.277023	2.302585	0.079973828	0.984202873	0.715970702
EWF	Light_1	1650.873255	2.302584	0.087185668	0.984162907	0.716121458
EWF	Light_1	1651.497456	2.302585	0.089660369	0.984193557	0.716185982
EWF	Light_1	1650.825185	2.302585	0.084377162	0.98422679	0.718173522
EWF	Light_1	1651.117218	2.30223	0.092258274	0.984069744	0.716310915
EWF	Light_1	1648.473914	2.302585	0.080929666	0.984049273	0.717592409
EWF	Light_1	1650.393573	2.302585	0.087016316	0.984173308	0.71736711
EWF	Light_1	1651.197523	2.302585	0.076737745	0.984123231	0.716883488
EWF	Light_1	1651.643572	2.302584	0.077285342	0.983950109	0.719693398
EWF	Dark_2	1651.578876	2.302583	0.081373671	0.983928229	0.715489516
EWF	Dark_2	1727.464853	2.301565	0.863941373	0.976857597	0.92958072
EWF	Dark_2	1709.582449	2.302514	0.693178309	0.979404867	0.922537708
EWF	Dark_2	1673.294134	2.299895	0.443272996	0.981925114	0.856616254
EWF	Dark_2	1658.379869	2.295029	0.098880081	0.983013759	0.739092794
EWF	Dark_2	1671.281418	2.30244	0.298149014	0.982790121	0.870753117
EWF	Dark_2	1665.802849	2.302585	0.157479742	0.983739493	0.747341844
EWF	Dark_2	1665.349986	2.302585	0.11429083	0.983325178	0.74586235
EWF	Dark_2	1660.488159	2.302585	0.145261879	0.983915829	0.738833262
EWF	Dark_2	1654.818785	2.302585	0.099261524	0.984104618	0.726193789
EWF	Dark_2	1661.99862	2.302585	0.120283955	0.983975001	0.741933937
EWF	Dark_2	1657.296761	2.302585	0.119518434	0.984058188	0.728876711
EWF	Dark_2	1653.724489	2.302585	0.110375734	0.984032923	0.729423711
EWF	Dark_2	1656.728987	2.302585	0.112039006	0.983996555	0.728605935
EWF	Dark_2	1656.585685	2.302585	0.13789395	0.984002899	0.728051337
EWF	Dark_2	1653.775452	2.302585	0.088166241	0.984046668	0.72370153
EWF	Dark_2	1654.324081	2.302585	0.103931673	0.984092076	0.726665988
EWF	Dark_2	1666.106453	2.302584	0.155133877	0.983583839	0.755991287
EWF	Dark_2	1659.518257	2.302584	0.106390492	0.983981317	0.730576037
EWF	Dark_2	1657.954233	2.302585	0.12629562	0.984029808	0.732350193
EWF	Dark_2	1661.979624	2.302585	0.137098026	0.98390848	0.739728432
EWF	Dark_2	1663.338261	2.302585	0.161241196	0.98393475	0.745228626
EWF	Dark_2	1660.148222	2.302585	0.133906567	0.984030394	0.740679183
EWF	Dark_2	1654.325222	2.302585	0.106744054	0.984144747	0.728498928
EWF	Dark_2	1659.228658	2.302578	0.116709515	0.984001296	0.735635561
EWF	Dark_2	1660.015679	2.302585	0.134820097	0.98394547	0.73602823
EWF	Dark_2	1662.935549	2.302585	0.159666022	0.983924219	0.743169761
EWF	Dark_2	1663.539097	2.302585	0.162618614	0.98388938	0.744283623
EWF	Dark_2	1661.306361	2.302582	0.129462151	0.983997998	0.73431612
EWF	Dark_2	1661.130677	2.302584	0.171193729	0.983945885	0.749341669
EWF	Dark_2	1669.998866	2.302585	0.202128405	0.983725281	0.754699347
EWF	Dark_2	1664.402546	2.302585	0.165006939	0.983786095	0.746849669
EWF	Dark_2	1660.523033	2.302576	0.180662625	0.983006597	0.806901912
EWF	Dark_2	1656.911933	2.302585	0.112963258	0.984065762	0.729036043
EWF	Dark_2	1664.755859	2.302584	0.168237994	0.983753886	0.747244169
EWF	Dark_2	1660.687033	2.302585	0.138111503	0.983962481	0.737292629
EWF	Dark_2	1660.255119	2.302585	0.158233468	0.983598215	0.742669923
EWF	Dark_2	1661.689253	2.302548	0.171126997	0.983673447	0.727528182
EWF	Dark_2	1656.679678	2.302585	0.124463887	0.984004795	0.734134836
EWF	Dark_2	1660.533947	2.302585	0.149490183	0.984019144	0.736270943
EWF	Dark_2	1656.857614	2.302584	0.115026661	0.983873375	0.730547679
EWF	Dark_2	1659.670144	2.302584	0.128153729	0.983719246	0.734331993
EWF	Dark_2	1659.286848	2.302585	0.135945627	0.983978839	0.736802894
EWF	Dark_2	1657.832912	2.302585	0.118318625	0.984074649	0.73211681
EWF	Dark_2	1660.778579	2.302585	0.142074758	0.984014227	0.738473718
EWF	Dark_2	1657.908925	2.302585	0.122047365	0.98403112	0.731453261
EWF	Dark_2	1656.611231	2.302585	0.121539588	0.984069143	0.735859575
EWF	Dark_2	1661.02385	2.302585	0.130091645	0.984022966	0.732711686
EWF	Dark_2	1666.148965	2.302584	0.159417008	0.983593153	0.739474898
EWF	Dark_2	1656.907234	2.302584	0.123887572	0.984040037	0.732222112
EWF	Dark_2	1661.953418	2.302585	0.15165971	0.98390147	0.74285194
EWF	Dark_2	1677.56896	2.302577	0.246191747	0.983314847	0.815298152
EWF	Dark_2	1681.400823	2.302585	0.25963185	0.983418367	0.775140675
EWF	Dark_2	1683.289226	2.302585	0.304920379	0.983368754	0.779661065
EWF	Dark_2	1684.761043	2.302584	0.304925067	0.983068027	0.784325186
EWF	Dark_2	1675.479672	2.302585	0.228023934	0.9835044	0.763586422
EWF	Dark_2	1674.249496	2.30257	0.222832708	0.983387446	0.76498958
EWF	Dark_2	1671.998853	2.302585	0.219153488	0.983588333	0.763115097
EWF	Dark_2	1673.970412	2.301525	0.250947032	0.983438218	0.745889721
EWF	Dark_2	1673.740781	2.302585	0.196707709	0.983549486	0.763025186
FWF	Dark_1	1648.333993	2.302583	0.098137461	0.980033947	0.732324286
