filename,Site ,Treatment ,MEANf,VARf,SKEWf,KURTf,NBPEAKS,LEQf,ENRf,BGNf,SNRf,Hf,EAS,ECU,ECV,EPS,EPS_KURT,EPS_SKEW,ACI,NDSI,rBA,AnthroEnergy,BioEnergy,BI,ROU,ADI,AEI,LFC,MFC,HFC,ACTspFract,ACTspCount,ACTspMean,EVNspFract,EVNspMean,EVNspCount,TFSD,H_Havrda,H_Renyi,H_pairedShannon,H_gamma,H_GiniSimpson,RAOQ,AGI,nROI,aROI,ZCR,MEANt,VARt,SKEWt,KURTt,LEQt,BGNt,SNRt,MED,Ht,ACTtFraction,ACTtCount,ACTtMean,EVNtFraction,EVNtMean,EVNtCount
Old Sneed Park_20240827_000800.WAV,Old Sneed Park ,Post-light treatment,0.000261333,8.75E-09,1.969873788,8.005506988,2,42.93977514,-44.03962495,-45.77114678,1.731521835,0.958145811,2.44E-05,0.064146441,0.062765125,0.002156718,3.264181142,0.126734423,296.6321848,0.161843872,1.386190274,0.040416774,0.056025339,0.593125363,0.507222669,2.302556568,0.003700225,0.135656095,0.126063947,0.128306853,0.129290207,1333.111328,5.491747729,0.001643421,0.021746179,0.072531788,0.629492388,0.333325853,5.352340219,6.975485879,74759.01996,0.996530066,0.816916224,1.203793131,0,0.008486083,42481.78182,7.44E-20,3.99E-05,0.043925865,3.023829706,43.00970121,-34.18382179,0.220248028,0.019534797,0.996037932,0.008145849,84,4.344890798,0.000290923,0.016,0.018184463
University Botanic Garden 24kHz_20240828_210400.WAV,University Botanic Garden ,Pre-light treatment,0.000265015,8.85E-09,2.291824695,12.25921855,5,43.0528428,-43.92655729,-45.67698381,1.75042652,0.958158713,6.75E-05,0.012238887,0.009484175,0.003620434,6.244005804,0.599888572,297.0078278,0.115063936,1.260050282,0.044858618,0.056524114,0.613090604,0.520893483,2.302290507,0.011799047,0.136666343,0.126761831,0.128339483,0.12959063,1336.208984,5.504450624,0.001663689,0.021954362,0.074165707,0.628631471,0.333323045,5.192936566,6.975482664,74976.75389,0.996365509,0.826803761,1.204646703,2.182135583,0.012861719,42248.78182,-4.89E-19,4.07E-05,0.048914156,3.080949488,43.09809543,-34.08918957,0.265400535,0.019748791,0.995630959,0.017261443,178,4.10724446,0.000387898,0.021333333,0.018184463
University Botanic Garden 24kHz_20240828_210500.WAV,University Botanic Garden ,Pre-light treatment,0.000266923,1.13E-08,3.57391112,26.2404647,6,43.23756038,-43.7418397,-45.67111435,1.929274642,0.944461149,6.37E-05,0.196016166,0.192215079,0.003883584,11.87026123,1.687572232,296.8739543,-0.052173354,0.900827455,0.062995317,0.056747911,0.588602824,0.539754936,2.257947561,0.143746671,0.138428216,0.12610894,0.128243406,0.129077866,1330.921875,5.609403191,0.001728282,0.021722839,0.076119305,0.627691463,0.333302456,4.643436342,6.889290072,72543.23445,0.994901015,0.854341343,1.204080556,0,0.01348681,42204.81818,3.51E-19,4.23E-05,-0.036430975,12.92971324,43.26311214,-34.0927018,0.337485954,0.019740807,0.990218273,0.018425136,190,5.440619375,0.001648565,0.045333333,0.036368926
University Botanic Garden 24kHz_20240828_210600.WAV,University Botanic Garden ,Pre-light treatment,0.000263424,8.38E-09,1.973986519,8.934015916,5,42.98057318,-43.9988269,-45.72164395,1.72281705,0.96049027,7.54E-05,0.014848731,0.011416817,0.003546352,7.743693009,1.1528287,296.7458761,0.152892806,1.360976291,0.041450424,0.056413045,0.639649259,0.51265068,2.302585054,0.000157294,0.135357062,0.126241918,0.128811713,0.129618664,1336.498047,5.489727609,0.001769765,0.021870237,0.078925383,0.627717764,0.333325808,5.349321422,6.990146961,75374.38138,0.996601287,0.820276194,1.204790027,0,0.012748066,42319.8,-9.49E-20,4.00E-05,0.056901951,2.965533264,43.01799383,-34.13342933,0.235401312,0.019648461,0.996138928,0.013576416,140,3.853380628,0,0,0
University Botanic Garden 24kHz_20240828_210700.WAV,University Botanic Garden ,Pre-light treatment,0.000266315,1.05E-08,3.253492368,22.82168697,6,43.18200236,-43.79739773,-45.69201289,1.894615162,0.948493235,6.43E-05,0.109549675,0.10622649,0.003918006,6.936773948,0.514782467,297.0255077,-0.008753292,0.982645326,0.057772794,0.056770166,0.637524458,0.540104653,2.276761899,0.110795018,0.139276824,0.126163931,0.128876066,0.129886127,1339.255859,5.587724412,0.001813521,0.022059604,0.080168583,0.626541618,0.333309181,4.766251023,6.914672369,73243.75198,0.995351819,0.847482496,1.204015608,2.182135583,0.01189567,42321.30909,3.11E-19,4.20E-05,-0.032005668,12.60345926,43.22955748,-34.10623464,0.307001332,0.019710075,0.991305126,0.014449185,149,5.544548505,0.000678821,0.037333333,0.018184463
University Botanic Garden 24kHz_20240828_210800.WAV,University Botanic Garden ,Pre-light treatment,0.0002641,8.33E-09,1.899239365,8.203362468,7,42.99741305,-43.98198704,-45.69795039,1.715963353,0.961084428,9.74E-05,0.022796482,0.017169758,0.00411848,12.48855013,1.478880061,296.7076164,0.16464734,1.394198399,0.040542642,0.056524487,0.644867532,0.515472962,2.302585052,0.000150025,0.137329066,0.126064947,0.128861564,0.129323356,1333.453125,5.499701891,0.001656302,0.021728818,0.073881547,0.625573272,0.333326342,5.38609751,6.993880547,75485.08807,0.996654816,0.817934367,1.204974041,3.273203375,0.015229488,42386.69091,-3.14E-20,4.01E-05,0.053944617,2.978012048,43.0327379,-34.1064081,0.241372776,0.019709681,0.995922505,0.015612878,161,3.979968061,0,0,0
University Botanic Garden 24kHz_20240828_210900.WAV,University Botanic Garden ,Pre-light treatment,0.000267327,1.13E-08,3.58263664,26.36107519,7,43.25058769,-43.72881239,-45.66539683,1.936584439,0.944446183,0.00010878,0.202999412,0.198613117,0.004042339,7.829648361,1.174704426,296.925787,-0.053634839,0.898190841,0.063340809,0.056892134,0.600211564,0.546363468,2.252285086,0.153167005,0.138622183,0.126028953,0.128899633,0.129540244,1335.689453,5.625067722,0.001769576,0.02211439,0.078392584,0.62638751,0.333302274,4.640495453,6.889193233,72547.3895,0.994894247,0.855042233,1.204783327,2.182135583,0.016081885,42138.6,-3.97E-19,4.24E-05,-0.043486868,13.7311882,43.27726069,-34.05256617,0.312737598,0.019832236,0.991106073,0.015806827,163,5.435788756,0.000678821,0.037333333,0.018184463
University Botanic Garden 24kHz_20240828_211000.WAV,University Botanic Garden ,Pre-light treatment,0.000264583,8.45E-09,1.932071748,8.528363042,5,43.01829143,-43.96110866,-45.68014975,1.719041093,0.960617295,8.59E-05,0.017838996,0.013718659,0.004275279,5.914481394,0.59089369,296.9272396,0.155377206,1.367920941,0.041275854,0.056462105,0.680011191,0.518152769,2.302585039,0.000183666,0.136262244,0.126213922,0.127951548,0.129174471,1331.917969,5.494061745,0.001656112,0.021764021,0.073774987,0.628665042,0.33332605,5.365631592,6.990950207,75377.23819,0.996622691,0.818652896,1.204328347,0,0.01445286,42404.96364,-2.96E-19,4.03E-05,0.050469598,2.975441949,43.0545464,-34.09258881,0.23874939,0.019741064,0.99595287,0.015321955,158,3.977907965,0,0,0
University Botanic Garden 24kHz_20240828_211100.WAV,University Botanic Garden ,Pre-light treatment,0.000266558,1.05E-08,3.159218409,21.61082187,6,43.1840972,-43.79530289,-45.68904481,1.893741928,0.949233472,7.70E-05,0.151825759,0.14877156,0.003320893,8.918860404,0.7446093,296.8506692,-0.003210392,0.993599763,0.05721744,0.056851235,0.706775007,0.545133571,2.269997196,0.123692395,0.137110852,0.125652016,0.128916854,0.129334532,1333.568359,5.602777098,0.001732828,0.021933699,0.076829705,0.626706041,0.33331093,4.803838417,6.919343127,73354.65145,0.99545587,0.84646417,1.205406374,0,0.010323471,42444.98182,-1.53E-19,4.19E-05,-0.020681715,12.54087329,43.22105891,-34.1062488,0.304664759,0.019710042,0.991421269,0.015031032,155,5.44522284,0.001066718,0.029333333,0.036368926
University Botanic Garden 24kHz_20240828_211200.WAV,University Botanic Garden ,Pre-light treatment,0.000264594,8.51E-09,2.002454929,9.209934264,6,43.02215719,-43.95724289,-45.67716279,1.7199199,0.960177745,7.43E-05,0.015479053,0.012194489,0.003896678,5.342940533,0.423256144,296.9779191,0.146488951,1.34326199,0.042063942,0.056502894,0.63985796,0.517980016,2.302585075,9.15E-05,0.135648013,0.126247917,0.128947671,0.129654275,1336.865234,5.489212336,0.001698353,0.021656938,0.075657546,0.628474891,0.333325563,5.333282374,6.988185096,75309.66627,0.996577063,0.820586697,1.203988952,2.182135583,0.01365729,42324.58182,3.90E-19,4.03E-05,0.048563112,2.976163814,43.05643861,-34.10228683,0.248427738,0.019719035,0.995952706,0.015612878,161,3.973407053,0,0,0
University Botanic Garden 24kHz_20240828_211300.WAV,University Botanic Garden ,Pre-light treatment,0.000265789,1.03E-08,3.102803817,21.02179308,6,43.15498884,-43.82441125,-45.70980352,1.885392272,0.949740896,7.11E-05,0.11049474,0.107099303,0.003381285,6.942677926,0.847684821,296.7788571,0.006234675,1.01254758,0.056002416,0.056705111,0.62272199,0.533923136,2.280881878,0.100410749,0.137215918,0.126473879,0.12917155,0.129761299,1337.96875,5.584707355,0.00173529,0.022119573,0.076936265,0.62992175,0.333311828,4.824304526,6.922538977,73429.62058,0.995515704,0.843996152,1.204314695,1.091067792,0.013941422,42358.96364,3.99E-19,4.17E-05,-0.029357233,12.3793401,43.19891305,-34.10234931,0.290879629,0.019718893,0.99166923,0.015418929,159,5.431252894,0.00087277,0.048,0.018184463
University Botanic Garden 24kHz_20240828_211400.WAV,University Botanic Garden ,Pre-light treatment,0.000263902,8.28E-09,1.879298595,8.030970703,6,42.9886494,-43.99075068,-45.70121566,1.710464976,0.961308307,8.23E-05,0.018247234,0.014090914,0.003779688,8.615997211,0.920865924,296.7078511,0.166364901,1.399131231,0.040282841,0.05636098,0.609687328,0.513408488,2.302585062,0.000118683,0.134694339,0.125823987,0.128400211,0.12917466,1331.919922,5.489201173,0.00169267,0.021495966,0.075799626,0.627548946,0.33332648,5.396066119,6.995285352,75533.07387,0.996671021,0.817489045,1.204598948,1.091067792,0.016384959,42417.67273,1.82E-19,4.01E-05,0.051208108,2.973781923,43.02840734,-34.13295911,0.258008035,0.019649524,0.995854234,0.015806827,163,3.99344253,0,0,0
University Botanic Garden 24kHz_20240828_211500.WAV,University Botanic Garden ,Pre-light treatment,0.000266339,1.08E-08,3.365214502,23.94120891,7,43.19762262,-43.78177747,-45.68052557,1.898748094,0.946896127,9.27E-05,0.090368146,0.086843161,0.003759967,7.218105895,0.909534513,297.0106768,-0.023909269,0.953298072,0.059412473,0.056637796,0.639074671,0.538687068,2.285589444,0.088897009,0.14027899,0.126381894,0.128464565,0.129572067,1336.017578,5.592580043,0.001753664,0.021807354,0.077540104,0.626331119,0.333306987,4.722791255,6.90462608,72947.23453,0.995188031,0.848675137,1.204707295,1.091067792,0.015835637,41977.43636,2.72E-19,4.24E-05,-0.047925002,11.90676041,43.27021493,-34.0624032,0.324441848,0.019809789,0.99184988,0.018328161,189,5.035450478,0.000775795,0.042666667,0.018184463
University Botanic Garden 24kHz_20240828_211600.WAV,University Botanic Garden ,Pre-light treatment,0.000264393,8.87E-09,2.254377631,11.848228,6,43.03605618,-43.94334391,-45.67276601,1.729422104,0.957959848,9.86E-05,0.01981673,0.015067171,0.003696349,10.84971512,1.265150449,296.9277746,0.115536792,1.261258561,0.044584508,0.056232592,0.628784852,0.519616909,2.302584869,0.000347348,0.137822067,0.125665014,0.128848875,0.129440608,1334.662109,5.497418873,0.001683768,0.021846472,0.074805066,0.626396339,0.333323226,5.201816215,6.974245414,74890.73993,0.996371997,0.824663351,1.204240205,4.364271167,0.019245224,41987.05455,-1.35E-19,4.07E-05,0.056537178,2.976898292,43.10051792,-34.08908602,0.27589738,0.019749027,0.995767795,0.017067494,176,4.006391222,0,0,0
University Botanic Garden 24kHz_20240828_211700.WAV,University Botanic Garden ,Pre-light treatment,0.00026605,1.08E-08,3.345238706,23.45875565,6,43.18882503,-43.79057505,-45.69495493,1.904379872,0.946874297,6.54E-05,0.158095945,0.153574764,0.003396024,8.830535455,0.495965551,296.9254516,-0.026038911,0.949243815,0.059655426,0.056627544,0.63753115,0.535340417,2.272514539,0.119127451,0.137668509,0.126653849,0.128255189,0.129475651,1335.023438,5.592487709,0.001728471,0.021822074,0.076261385,0.629269073,0.333307681,4.73612496,6.904500121,72933.35832,0.995207761,0.849801065,1.204995838,1.091067792,0.013240562,42034.16364,3.49E-19,4.21E-05,-0.040994087,11.22840785,43.24511624,-34.07749881,0.31591387,0.019775391,0.991600537,0.01697052,175,5.237769758,0.00087277,0.024,0.036368926
University Botanic Garden 24kHz_20240828_211800.WAV,University Botanic Garden ,Pre-light treatment,0.000263544,8.29E-09,1.884086765,8.060381482,5,42.97862534,-44.00077475,-45.72650041,1.72572566,0.961157026,7.45E-05,0.013345636,0.010342289,0.003708447,5.403993669,0.231814583,296.9093291,0.166569762,1.399720948,0.04018002,0.056240815,0.607278353,0.513268545,2.302585019,0.000206224,0.134775159,0.126448883,0.129767049,0.129834794,1338.726563,5.502549821,0.001743057,0.021741384,0.077966344,0.628233091,0.33332643,5.392455985,6.994337803,75494.08766,0.996663456,0.817869532,1.204541277,1.091067792,0.014850645,42403.69091,-4.16E-19,3.99E-05,0.055597309,2.976712798,43.01480646,-34.13321256,0.248919805,0.019648951,0.995846363,0.014643134,151,4.038736705,0,0,0
University Botanic Garden 24kHz_20240828_211900.WAV,University Botanic Garden ,Pre-light treatment,0.000266444,1.04E-08,3.198856741,21.89903246,5,43.17917122,-43.80022887,-45.70139536,1.901166491,0.949208751,7.36E-05,0.162775091,0.158990416,0.004117139,6.396259608,0.599275253,297.1034153,-0.003985549,0.992060544,0.057182039,0.056728045,0.620680211,0.536587313,2.269450002,0.123987745,0.137288656,0.126222921,0.128548859,0.129731181,1337.658203,5.625282184,0.001739079,0.022109574,0.077362505,0.627146312,0.333310852,4.802104964,6.919181049,73389.42525,0.995440224,0.848678395,1.205812552,1.091067792,0.018752728,42458.98182,3.70E-19,4.18E-05,-0.026229468,11.21770233,43.20659896,-34.09280919,0.301538059,0.019740563,0.991410573,0.014740109,152,5.518944519,0.000678821,0.037333333,0.018184463
